transaction_id,user_id,product_id,transaction_date,discount_percent,price_after_discount,purchased
T000080,U01673,P0007,2025-06-09 07:57:28.467461,15,220.15,0
T000081,U00503,P0008,2025-06-15 07:57:28.467463,15,34.73,1
T000082,U01703,P0019,2025-06-19 07:57:28.467466,30,89.34,1
T000083,U01857,P0017,2025-06-29 07:57:28.467468,0,113.13,1
T000084,U01735,P0011,2025-06-05 07:57:28.467470,0,100.82,1
T000085,U00986,P0049,2025-05-04 07:57:28.467473,25,369.21,1
T000086,U00071,P0011,2025-04-17 07:57:28.467475,30,70.57,0
T000087,U01012,P0041,2025-05-12 07:57:28.467477,15,88.26,1
T000088,U01543,P0062,2025-05-25 07:57:28.467479,15,61.0,1
T000089,U01736,P0052,2025-05-30 07:57:28.467482,25,211.31,1
T000090,U01360,P0066,2025-06-28 07:57:28.467484,5,84.89,0
T000091,U00067,P0068,2025-06-21 07:57:28.467487,10,417.73,0
T000092,U01517,P0092,2025-05-12 07:57:28.467489,20,304.93,0
T000093,U01674,P0097,2025-06-09 07:57:28.467491,20,253.06,1
T000094,U01778,P0075,2025-05-23 07:57:28.467494,25,226.72,0
T000095,U00967,P0067,2025-05-26 07:57:28.467496,30,247.38,1
T000096,U01237,P0040,2025-05-05 07:57:28.467499,20,26.74,1
T000097,U00181,P0005,2025-05-24 07:57:28.467500,0,320.14,0
T000098,U01790,P0085,2025-06-12 07:57:28.467503,30,161.83,0
T000099,U00613,P0022,2025-04-07 07:57:28.467505,30,327.12,0
T000100,U01887,P0037,2025-05-07 07:57:28.467507,0,299.25,1
T000101,U01623,P0011,2025-06-20 07:57:28.467510,5,95.78,1
T000102,U00697,P0044,2025-07-01 07:57:28.467512,25,254.44,0
T000103,U00603,P0086,2025-04-07 07:57:28.467514,0,255.71,1
T000104,U00248,P0053,2025-05-15 07:57:28.467516,25,317.37,1
T000105,U01238,P0077,2025-07-02 07:57:28.467519,25,173.4,0
T000106,U00359,P0061,2025-06-09 07:57:28.467521,30,307.75,1
T000107,U00249,P0067,2025-05-09 07:57:28.467525,15,300.39,0
T000108,U00638,P0013,2025-05-27 07:57:28.467529,10,369.87,0
T000109,U01947,P0092,2025-05-19 07:57:28.467533,10,343.04,1
T000110,U00950,P0011,2025-06-27 07:57:28.467541,25,75.61,1
T000111,U01905,P0011,2025-06-28 07:57:28.467546,10,90.74,1
T000112,U01540,P0085,2025-06-12 07:57:28.467549,10,208.07,0
T000113,U01112,P0085,2025-04-10 07:57:28.467551,20,184.95,1
T000114,U00663,P0007,2025-06-20 07:57:28.467553,30,181.3,1
T000115,U00176,P0017,2025-06-22 07:57:28.467556,20,90.5,1
T000116,U00723,P0048,2025-06-15 07:57:28.467558,15,137.96,1
T000117,U00426,P0014,2025-06-02 07:57:28.467561,5,307.82,1
T000118,U01795,P0063,2025-06-06 07:57:28.467563,30,307.2,0
T000119,U01627,P0064,2025-05-17 07:57:28.467565,0,260.98,0
T000120,U00771,P0097,2025-04-11 07:57:28.467567,0,316.32,1
T000121,U01948,P0075,2025-05-07 07:57:28.467570,20,241.83,1
T000122,U00703,P0077,2025-05-14 07:57:28.467572,25,173.4,1
T000123,U00081,P0065,2025-06-30 07:57:28.467574,10,187.33,1
T000124,U00927,P0034,2025-06-08 07:57:28.467577,15,267.49,1
T000125,U00138,P0009,2025-06-07 07:57:28.467579,5,397.79,0
T000126,U01457,P0077,2025-04-12 07:57:28.467582,20,184.96,1
T000127,U00470,P0037,2025-07-05 07:57:28.467585,25,224.44,1
T000128,U00350,P0030,2025-06-22 07:57:28.467589,15,119.25,1
T000129,U01150,P0041,2025-04-13 07:57:28.467593,25,77.87,0
T000130,U01905,P0045,2025-04-28 07:57:28.467597,15,199.88,1
T000131,U01941,P0047,2025-05-24 07:57:28.467601,20,96.94,1
T000132,U01892,P0007,2025-06-07 07:57:28.467605,15,220.15,1
T000133,U01333,P0014,2025-07-04 07:57:28.467609,30,226.81,1
T000134,U01879,P0048,2025-05-20 07:57:28.467611,10,146.08,1
T000135,U01254,P0006,2025-04-26 07:57:28.467613,15,183.38,1
T000136,U01484,P0034,2025-06-16 07:57:28.467616,5,298.96,1
T000137,U01369,P0080,2025-06-29 07:57:28.467618,15,272.78,0
T000138,U00310,P0100,2025-04-13 07:57:28.467621,30,149.17,0
T000139,U01977,P0046,2025-05-01 07:57:28.467623,0,495.97,1
T000140,U01044,P0059,2025-06-25 07:57:28.467625,30,180.42,0
T000141,U01905,P0070,2025-05-30 07:57:28.467628,15,109.12,1
T000142,U01585,P0008,2025-04-10 07:57:28.467630,25,30.64,0
T000143,U01002,P0024,2025-05-14 07:57:28.467632,20,93.84,1
T000144,U01671,P0067,2025-05-14 07:57:28.467635,0,353.4,1
T000145,U01565,P0004,2025-05-29 07:57:28.467637,20,74.74,1
T000146,U01584,P0096,2025-05-10 07:57:28.467639,25,64.12,1
T000147,U01501,P0001,2025-05-26 07:57:28.467643,5,258.04,1
T000148,U00269,P0034,2025-06-27 07:57:28.467646,10,283.22,1
T000149,U01027,P0009,2025-06-17 07:57:28.467651,5,397.79,1
T000150,U00770,P0063,2025-04-12 07:57:28.467656,0,438.85,0
T000151,U00016,P0076,2025-05-07 07:57:28.467660,25,124.42,1
T000152,U00606,P0010,2025-06-03 07:57:28.467665,25,295.81,0
T000153,U01382,P0010,2025-06-27 07:57:28.467667,10,354.97,0
T000154,U01670,P0050,2025-05-30 07:57:28.467669,15,354.93,1
T000155,U00813,P0044,2025-06-14 07:57:28.467672,0,339.25,1
T000156,U01863,P0048,2025-04-18 07:57:28.467674,10,146.08,1
T000157,U01157,P0087,2025-06-23 07:57:28.467676,30,185.65,0
T000158,U01336,P0006,2025-04-18 07:57:28.467679,30,151.02,1
T000159,U01991,P0088,2025-05-30 07:57:28.467681,20,183.76,0
T000160,U00482,P0024,2025-04-26 07:57:28.467683,10,105.57,0
T000161,U00895,P0085,2025-06-12 07:57:28.467686,20,184.95,0
T000162,U01568,P0095,2025-05-26 07:57:28.467688,30,280.55,1
T000163,U01329,P0058,2025-04-07 07:57:28.467690,30,59.49,1
T000164,U00269,P0064,2025-05-19 07:57:28.467693,20,208.78,0
T000165,U00414,P0094,2025-04-27 07:57:28.467695,25,27.96,0
T000166,U00025,P0056,2025-05-10 07:57:28.467697,10,374.35,1
T000167,U00316,P0098,2025-06-17 07:57:28.467700,25,131.95,1
T000168,U00571,P0082,2025-04-23 07:57:28.467702,30,141.64,1
T000169,U00725,P0012,2025-05-02 07:57:28.467704,25,240.62,1
T000170,U01692,P0035,2025-05-01 07:57:28.467706,5,289.44,0
T000171,U01008,P0071,2025-06-14 07:57:28.467709,5,267.79,1
T000172,U01850,P0089,2025-05-13 07:57:28.467711,25,101.61,1
T000173,U01300,P0006,2025-07-02 07:57:28.467713,25,161.8,1
T000174,U01954,P0065,2025-06-04 07:57:28.467717,20,166.51,0
T000175,U00389,P0080,2025-06-18 07:57:28.467719,25,240.69,1
T000176,U00722,P0060,2025-06-18 07:57:28.467721,0,212.47,1
T000177,U00444,P0068,2025-07-01 07:57:28.467724,10,417.73,1
T000178,U00999,P0029,2025-05-03 07:57:28.467726,0,74.71,1
T000179,U01451,P0038,2025-06-27 07:57:28.467728,5,444.58,1
T000180,U01081,P0092,2025-06-02 07:57:28.467731,0,381.16,1
T000181,U00697,P0022,2025-05-26 07:57:28.467734,15,397.22,1
T000182,U00971,P0008,2025-05-11 07:57:28.467736,15,34.73,1
T000183,U01590,P0063,2025-06-01 07:57:28.467738,5,416.91,0
T000184,U00721,P0096,2025-05-14 07:57:28.467741,0,85.49,1
T000185,U00368,P0097,2025-06-24 07:57:28.467743,10,284.69,1
T000186,U01965,P0013,2025-04-25 07:57:28.467745,5,390.42,1
T000187,U00342,P0027,2025-05-01 07:57:28.467748,15,231.29,1
T000188,U01829,P0018,2025-04-15 07:57:28.467750,5,157.64,1
T000189,U01876,P0018,2025-04-07 07:57:28.467752,0,165.94,0
T000190,U00304,P0077,2025-05-23 07:57:28.467755,0,231.2,1
T000191,U00764,P0086,2025-07-01 07:57:28.467757,0,255.71,0
T000192,U01398,P0062,2025-07-02 07:57:28.467759,20,57.42,1
T000193,U01974,P0014,2025-04-28 07:57:28.467762,0,324.02,1
T000194,U00816,P0011,2025-05-29 07:57:28.467764,25,75.61,0
T000195,U00112,P0086,2025-06-23 07:57:28.467766,15,217.35,1
T000196,U00878,P0100,2025-05-05 07:57:28.467768,30,149.17,1
T000197,U01030,P0017,2025-06-20 07:57:28.467771,15,96.16,0
T000198,U00930,P0051,2025-05-30 07:57:28.467773,20,192.16,1
T000199,U00703,P0096,2025-06-16 07:57:28.467775,15,72.67,1
T000200,U00846,P0014,2025-04-16 07:57:28.467777,15,275.42,1
T000201,U00944,P0057,2025-06-12 07:57:28.467780,5,259.83,0
T000202,U00279,P0093,2025-04-26 07:57:28.467783,30,83.67,1
T000203,U00382,P0006,2025-07-02 07:57:28.467785,30,151.02,1
T000204,U01876,P0057,2025-05-08 07:57:28.467787,0,273.51,0
T000205,U00013,P0004,2025-05-22 07:57:28.467790,25,70.07,1
T000206,U00303,P0011,2025-04-26 07:57:28.467792,25,75.61,1
T000207,U01580,P0074,2025-04-16 07:57:28.467794,5,303.4,0
T000208,U01641,P0092,2025-05-22 07:57:28.467797,25,285.87,1
T000209,U00160,P0011,2025-04-12 07:57:28.467799,5,95.78,1
T000210,U00154,P0099,2025-04-09 07:57:28.467801,30,50.39,1
T000211,U00754,P0079,2025-04-27 07:57:28.467804,30,277.93,0
T000212,U00181,P0008,2025-05-21 07:57:28.467806,30,28.6,1
T000213,U01550,P0084,2025-04-09 07:57:28.467808,25,309.86,0
T000214,U01204,P0059,2025-06-09 07:57:28.467811,15,219.08,1
T000215,U00377,P0021,2025-05-16 07:57:28.467813,30,44.12,1
T000216,U01828,P0065,2025-07-02 07:57:28.467815,10,187.33,1
T000217,U00776,P0093,2025-05-11 07:57:28.467818,0,119.53,1
T000218,U01192,P0024,2025-05-28 07:57:28.467820,10,105.57,1
T000219,U01238,P0030,2025-06-10 07:57:28.467822,15,119.25,0
T000220,U01174,P0099,2025-06-15 07:57:28.467825,20,57.58,1
T000221,U00016,P0097,2025-04-19 07:57:28.467827,5,300.5,1
T000222,U01115,P0084,2025-05-15 07:57:28.467829,25,309.86,0
T000223,U01144,P0057,2025-06-03 07:57:28.467832,25,205.13,1
T000224,U01980,P0080,2025-04-16 07:57:28.467834,15,272.78,0
T000225,U00253,P0073,2025-05-21 07:57:28.467836,25,8.89,1
T000226,U01084,P0095,2025-05-12 07:57:28.467839,15,340.66,1
T000227,U01290,P0017,2025-05-19 07:57:28.467841,10,101.82,0
T000228,U01433,P0059,2025-06-21 07:57:28.467843,20,206.19,0
T000229,U00031,P0031,2025-04-07 07:57:28.467846,5,213.6,1
T000230,U01045,P0064,2025-06-22 07:57:28.467848,25,195.74,1
T000231,U00731,P0048,2025-04-22 07:57:28.467850,20,129.85,1
T000232,U01617,P0023,2025-05-13 07:57:28.467853,20,138.74,1
T000233,U00289,P0070,2025-06-17 07:57:28.467855,20,102.7,0
T000234,U01567,P0030,2025-04-14 07:57:28.467858,0,140.29,1
T000235,U00498,P0055,2025-05-29 07:57:28.467861,20,88.76,0
T000236,U01770,P0007,2025-05-18 07:57:28.467863,30,181.3,1
T000237,U01498,P0075,2025-06-01 07:57:28.467866,15,256.95,1
T000238,U01429,P0098,2025-05-21 07:57:28.467868,0,175.94,0
T000239,U00548,P0012,2025-06-26 07:57:28.467870,30,224.57,1
T000240,U00961,P0060,2025-05-06 07:57:28.467873,0,212.47,0
T000241,U00132,P0052,2025-06-16 07:57:28.467875,20,225.4,1
T000242,U01348,P0027,2025-05-21 07:57:28.467877,25,204.08,1
T000243,U00858,P0012,2025-04-28 07:57:28.467880,25,240.62,1
T000244,U01156,P0013,2025-05-17 07:57:28.467882,25,308.23,0
T000245,U00521,P0072,2025-07-05 07:57:28.467884,25,300.1,1
T000246,U00030,P0080,2025-05-09 07:57:28.467887,15,272.78,1
T000247,U00627,P0062,2025-06-12 07:57:28.467889,25,53.83,1
T000248,U01325,P0029,2025-05-20 07:57:28.467891,5,70.97,1
T000249,U00004,P0035,2025-06-06 07:57:28.467894,20,243.74,1
T000250,U01349,P0060,2025-04-09 07:57:28.467896,0,212.47,1
T000251,U00509,P0029,2025-04-08 07:57:28.467898,5,70.97,1
T000252,U01261,P0031,2025-05-21 07:57:28.467901,25,168.63,1
T000253,U01559,P0077,2025-06-11 07:57:28.467903,5,219.64,0
T000254,U00016,P0076,2025-07-04 07:57:28.467905,0,165.89,0
T000255,U01558,P0061,2025-06-21 07:57:28.467908,25,329.74,1
T000256,U00997,P0002,2025-06-02 07:57:28.467910,5,286.91,1
T000257,U01608,P0033,2025-06-20 07:57:28.467912,15,329.47,1
T000258,U01840,P0072,2025-07-02 07:57:28.467915,15,340.11,1
T000259,U01470,P0062,2025-04-10 07:57:28.467917,20,57.42,0
T000260,U01527,P0059,2025-06-02 07:57:28.467919,20,206.19,1
T000261,U00956,P0040,2025-06-25 07:57:28.467922,30,23.39,1
T000262,U01254,P0049,2025-04-15 07:57:28.467924,5,467.67,0
T000263,U01131,P0032,2025-06-07 07:57:28.467926,0,24.84,1
T000264,U01744,P0038,2025-04-22 07:57:28.467929,15,397.78,1
T000265,U01413,P0092,2025-04-29 07:57:28.467931,10,343.04,1
T000266,U01744,P0079,2025-07-03 07:57:28.467933,20,317.63,1
T000267,U00263,P0087,2025-06-08 07:57:28.467936,30,185.65,1
T000268,U01587,P0088,2025-04-27 07:57:28.467938,15,195.24,1
T000269,U01089,P0013,2025-04-26 07:57:28.467940,30,287.68,1
T000270,U00265,P0085,2025-04-08 07:57:28.467943,25,173.39,0
T000271,U01362,P0054,2025-06-27 07:57:28.467945,5,233.4,1
T000272,U01325,P0076,2025-05-09 07:57:28.467947,30,116.12,1
T000273,U00378,P0013,2025-06-21 07:57:28.467950,15,349.32,1
T000274,U01199,P0039,2025-06-04 07:57:28.467952,15,12.07,1
T000275,U00963,P0023,2025-06-20 07:57:28.467955,5,164.75,1
T000276,U01176,P0092,2025-05-08 07:57:28.467957,20,304.93,1
T000277,U00476,P0014,2025-04-21 07:57:28.467959,20,259.22,1
T000278,U01290,P0017,2025-05-26 07:57:28.467962,10,101.82,1
T000279,U00329,P0024,2025-04-21 07:57:28.467964,10,105.57,1
T000280,U01997,P0058,2025-05-03 07:57:28.467966,20,67.99,0
T000281,U01840,P0063,2025-06-08 07:57:28.467970,20,351.08,1
T000282,U01187,P0034,2025-05-04 07:57:28.467974,30,220.28,0
T000283,U00438,P0051,2025-04-08 07:57:28.467978,20,192.16,1
T000284,U01367,P0086,2025-07-02 07:57:28.467982,20,204.57,1
T000285,U01391,P0010,2025-06-21 07:57:28.467985,15,335.25,1
T000286,U01489,P0072,2025-06-24 07:57:28.467989,10,360.12,0
T000287,U01774,P0021,2025-04-21 07:57:28.467993,5,59.88,0
T000288,U01223,P0037,2025-04-20 07:57:28.467995,0,299.25,0
T000289,U01524,P0007,2025-06-17 07:57:28.467998,5,246.05,0
T000290,U00016,P0090,2025-04-14 07:57:28.468000,25,51.73,1
T000291,U01845,P0013,2025-06-29 07:57:28.468002,0,410.97,0
T000292,U01320,P0080,2025-06-03 07:57:28.468005,15,272.78,0
T000293,U00868,P0030,2025-04-17 07:57:28.468007,25,105.22,1
T000294,U00511,P0031,2025-04-17 07:57:28.468009,10,202.36,0
T000295,U01812,P0005,2025-06-18 07:57:28.468012,0,320.14,1
T000296,U00984,P0032,2025-04-13 07:57:28.468014,20,19.87,0
T000297,U01263,P0016,2025-05-20 07:57:28.468016,25,248.62,0
T000298,U00581,P0073,2025-04-12 07:57:28.468019,15,10.07,0
T000299,U01325,P0022,2025-05-07 07:57:28.468021,0,467.32,0
T000300,U00006,P0064,2025-05-18 07:57:28.468024,20,208.78,1
T000301,U01244,P0044,2025-05-15 07:57:28.468028,25,254.44,1
T000302,U01019,P0040,2025-06-30 07:57:28.468033,15,28.41,1
T000303,U01790,P0037,2025-04-23 07:57:28.468036,25,224.44,1
T000304,U01477,P0078,2025-06-22 07:57:28.468040,0,131.01,1
T000305,U01457,P0016,2025-05-15 07:57:28.468044,20,265.19,1
T000306,U00807,P0043,2025-05-21 07:57:28.468047,10,88.91,1
T000307,U01894,P0084,2025-04-27 07:57:28.468050,30,289.2,0
T000308,U01410,P0063,2025-06-15 07:57:28.468052,15,373.02,0
T000309,U00619,P0015,2025-04-07 07:57:28.468055,0,162.1,1
T000310,U01319,P0044,2025-06-21 07:57:28.468059,20,271.4,1
T000311,U01142,P0090,2025-04-22 07:57:28.468061,10,62.07,1
T000312,U00405,P0009,2025-04-10 07:57:28.468063,25,314.05,1
T000313,U01704,P0065,2025-04-27 07:57:28.468066,20,166.51,1
T000314,U00997,P0099,2025-05-28 07:57:28.468068,30,50.39,0
T000315,U01787,P0044,2025-04-11 07:57:28.468070,10,305.32,1
T000316,U00594,P0020,2025-04-15 07:57:28.468072,0,282.89,0
T000317,U00566,P0070,2025-05-04 07:57:28.468075,20,102.7,1
T000318,U00752,P0074,2025-06-08 07:57:28.468077,30,223.56,1
T000319,U01902,P0033,2025-05-03 07:57:28.468079,20,310.09,0
T000320,U00012,P0080,2025-05-03 07:57:28.468082,5,304.87,1
T000321,U01233,P0100,2025-05-28 07:57:28.468084,15,181.14,1
T000322,U00165,P0006,2025-05-22 07:57:28.468086,20,172.59,0
T000323,U00878,P0083,2025-05-02 07:57:28.468089,30,106.95,1
T000324,U01318,P0031,2025-05-20 07:57:28.468091,10,202.36,1
T000325,U01935,P0066,2025-06-03 07:57:28.468093,15,75.96,1
T000326,U01543,P0018,2025-04-08 07:57:28.468096,0,165.94,0
T000327,U00078,P0028,2025-07-01 07:57:28.468098,30,126.54,1
T000328,U01458,P0068,2025-06-23 07:57:28.468100,15,394.52,0
T000329,U01601,P0065,2025-06-14 07:57:28.468103,5,197.73,1
T000330,U00614,P0080,2025-05-07 07:57:28.468105,0,320.92,1
T000331,U01987,P0045,2025-05-17 07:57:28.468107,20,188.12,1
T000332,U00869,P0058,2025-04-25 07:57:28.468110,30,59.49,1
T000333,U00812,P0047,2025-04-19 07:57:28.468112,25,90.88,1
T000334,U01823,P0066,2025-04-25 07:57:28.468114,0,89.36,1
T000335,U01707,P0052,2025-06-26 07:57:28.468117,30,197.22,1
T000336,U01101,P0036,2025-05-01 07:57:28.468119,0,277.56,1
T000337,U01072,P0001,2025-06-21 07:57:28.468121,5,258.04,0
T000338,U00767,P0039,2025-05-10 07:57:28.468124,10,12.78,1
T000339,U00082,P0087,2025-05-31 07:57:28.468126,0,265.21,0
T000340,U01919,P0090,2025-04-20 07:57:28.468128,30,48.28,0
T000341,U01745,P0075,2025-06-14 07:57:28.468131,10,272.06,1
T000342,U00209,P0001,2025-05-27 07:57:28.468133,15,230.88,1
T000343,U01469,P0075,2025-06-24 07:57:28.468135,25,226.72,1
T000344,U01995,P0088,2025-04-21 07:57:28.468138,5,218.21,0
T000345,U01620,P0074,2025-06-15 07:57:28.468140,20,255.5,1
T000346,U00522,P0014,2025-06-04 07:57:28.468142,30,226.81,0
T000347,U01053,P0078,2025-04-18 07:57:28.468145,30,91.71,1
T000348,U01328,P0071,2025-06-12 07:57:28.468147,30,197.32,0
T000349,U00994,P0023,2025-06-27 07:57:28.468150,0,173.42,1
T000350,U00465,P0043,2025-06-11 07:57:28.468154,25,74.09,0
T000351,U01526,P0022,2025-06-18 07:57:28.468158,25,350.49,1
T000352,U01470,P0060,2025-05-02 07:57:28.468163,10,191.22,1
T000353,U00628,P0100,2025-07-03 07:57:28.468166,0,213.1,1
T000354,U01514,P0027,2025-04-22 07:57:28.468171,30,190.47,1
T000355,U00781,P0056,2025-06-14 07:57:28.468175,25,311.96,1
T000356,U01452,P0002,2025-06-23 07:57:28.468180,30,211.41,1
T000357,U00559,P0039,2025-05-03 07:57:28.468184,30,9.94,1
T000358,U01383,P0051,2025-06-02 07:57:28.468189,30,168.14,1
T000359,U00960,P0019,2025-05-15 07:57:28.468192,5,121.25,1
T000360,U00091,P0062,2025-04-20 07:57:28.468194,20,57.42,1
T000361,U01077,P0071,2025-04-22 07:57:28.468197,15,239.6,0
T000362,U01754,P0076,2025-05-01 07:57:28.468199,15,141.01,1
T000363,U00860,P0067,2025-05-11 07:57:28.468201,10,318.06,1
T000364,U01613,P0063,2025-04-11 07:57:28.468204,25,329.14,1
T000365,U01228,P0005,2025-04-22 07:57:28.468206,15,272.12,0
T000366,U00556,P0072,2025-05-30 07:57:28.468208,10,360.12,1
T000367,U00156,P0078,2025-04-09 07:57:28.468211,20,104.81,0
T000368,U00002,P0061,2025-04-09 07:57:28.468213,30,307.75,1
T000369,U01381,P0100,2025-05-30 07:57:28.468215,0,213.1,0
T000370,U00825,P0071,2025-06-09 07:57:28.468218,5,267.79,1
T000371,U01593,P0007,2025-05-09 07:57:28.468220,20,207.2,0
T000372,U00802,P0050,2025-06-29 07:57:28.468222,20,334.05,1
T000373,U00983,P0046,2025-04-19 07:57:28.468225,15,421.57,1
T000374,U01082,P0096,2025-06-28 07:57:28.468227,15,72.67,1
T000375,U01278,P0072,2025-05-26 07:57:28.468229,5,380.12,0
T000376,U01204,P0076,2025-04-17 07:57:28.468231,0,165.89,0
T000377,U00493,P0074,2025-06-16 07:57:28.468234,20,255.5,0
T000378,U00669,P0014,2025-05-04 07:57:28.468236,25,243.02,1
T000379,U01059,P0073,2025-04-16 07:57:28.468238,15,10.07,1
T000380,U00075,P0094,2025-06-27 07:57:28.468241,20,29.82,1
T000381,U00944,P0069,2025-05-06 07:57:28.468243,0,193.93,1
T000382,U01313,P0065,2025-06-24 07:57:28.468245,10,187.33,0
T000383,U00371,P0065,2025-05-02 07:57:28.468248,0,208.14,1
T000384,U00587,P0057,2025-06-15 07:57:28.468250,20,218.81,1
T000385,U00329,P0062,2025-05-07 07:57:28.468252,20,57.42,1
T000386,U00590,P0020,2025-06-20 07:57:28.468255,5,268.75,0
